what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267016373599
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016375007
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267016375007
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1267016376430
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.stop",1267016378142
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1267016381618
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.launchShortcut.debug",1267016387373
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267016390049
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267016390136
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016391607
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016391610
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016391702
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016436922
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016449228
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016452504
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016456724
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016479282
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016479515
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267016479515
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016483714
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016483810
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016486625
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016486727
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1267016517431
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267016525133
