what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.launchShortcut.debug",1267010191070
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010193336
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267010193661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010193718
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267010193733
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010223508
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010313973
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010322687
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010353839
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1267010354992
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1267010356114
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1267010356114
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010357522
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010357526
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010357690
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010455990
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1267010461428
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1267010463061
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1267010464372
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1267010465213
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1267010472583
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010474426
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1267010498814
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1267010504523
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1267010506415
